user_id,signup_date,last_login_date,logins,avg_session_time_mins,feature_usage_count,upgraded,upgrade_date,churn_flag,days_to_upgrade,signup_month,churn_month,user_segment,cluster
user_1,2023-04-13,2023-09-05,7,13.79,7,1,2023-07-16,0,94.0,2023-04-01,2023-09-01,Regular User,1
user_2,2023-12-15,2024-03-17,10,19.7,1,0,,0,,2023-12-01,2024-03-01,Regular User,0
user_3,2023-09-28,2023-11-29,4,17.62,6,0,,0,,2023-09-01,2023-11-01,Inactive,0
user_4,2023-04-17,2023-07-09,6,16.23,2,0,,1,,2023-04-01,2023-07-01,Churned,0
user_5,2023-03-13,2023-04-06,6,16.43,6,0,,1,,2023-03-01,2023-04-01,Churned,0
user_6,2023-07-08,2023-07-19,10,15.11,5,0,,1,,2023-07-01,2023-07-01,Churned,0
user_7,2023-01-21,2023-06-18,10,12.09,5,1,2023-04-21,0,90.0,2023-01-01,2023-06-01,Regular User,1
user_8,2023-04-13,2023-05-07,10,23.59,5,0,,1,,2023-04-01,2023-05-01,Churned,0
user_9,2023-05-02,2023-05-12,10,20.29,9,1,2023-06-07,0,36.0,2023-05-01,2023-05-01,Regular User,3
user_10,2023-08-03,2023-10-05,7,15.22,3,1,2023-09-27,0,55.0,2023-08-01,2023-10-01,Regular User,0
user_11,2023-11-27,2024-03-31,5,15.35,12,1,2024-03-03,0,97.0,2023-11-01,2024-03-01,Regular User,3
user_12,2023-03-29,2023-05-17,6,17.83,5,0,,1,,2023-03-01,2023-05-01,Churned,0
user_13,2023-04-10,2023-07-07,12,9.71,0,1,2023-07-16,0,97.0,2023-04-01,2023-07-01,Inactive,1
user_14,2023-12-26,2024-04-02,7,11.09,1,1,2024-02-19,0,55.0,2023-12-01,2024-04-01,Regular User,0
user_15,2023-06-01,2023-09-24,10,5.62,4,1,2023-06-08,0,7.0,2023-06-01,2023-09-01,Regular User,0
user_16,2023-05-11,2023-08-14,8,13.94,8,1,2023-09-03,0,115.0,2023-05-01,2023-08-01,Regular User,1
user_17,2023-05-30,2023-11-22,12,20.96,9,1,2023-06-12,0,13.0,2023-05-01,2023-11-01,Regular User,3
user_18,2023-11-05,2023-11-18,12,13.59,2,0,,0,,2023-11-01,2023-11-01,Regular User,2
user_19,2023-09-15,2023-09-15,6,25.95,7,1,2023-10-08,0,23.0,2023-09-01,2023-09-01,Regular User,3
user_20,2023-12-10,2024-01-03,7,12.82,7,0,,0,,2023-12-01,2024-01-01,Regular User,3
user_21,2023-10-21,2023-12-31,10,15.89,5,1,2023-12-08,0,48.0,2023-10-01,2023-12-01,Regular User,1
user_22,2023-07-11,2023-09-17,9,13.61,10,0,,1,,2023-07-01,2023-09-01,Churned,3
user_23,2023-10-04,2024-02-13,14,3.81,7,1,2023-11-10,0,37.0,2023-10-01,2024-02-01,Regular User,2
user_24,2023-06-10,2023-09-22,6,13.62,6,0,,1,,2023-06-01,2023-09-01,Churned,0
user_25,2023-11-10,2024-04-04,10,10.79,5,1,2024-02-25,0,107.0,2023-11-01,2024-04-01,Regular User,1
user_26,2023-01-22,2023-02-13,5,16.17,7,0,,1,,2023-01-01,2023-02-01,Churned,3
user_27,2023-09-10,2023-09-18,11,21.38,6,0,,1,,2023-09-01,2023-09-01,Churned,3
user_28,2023-08-24,2023-12-19,10,13.24,7,0,,0,,2023-08-01,2023-12-01,Regular User,3
user_29,2023-12-11,2024-03-13,6,16.86,5,0,,0,,2023-12-01,2024-03-01,Regular User,0
user_30,2023-02-18,2023-08-14,9,13.93,8,1,2023-03-09,0,19.0,2023-02-01,2023-08-01,Regular User,3
user_31,2023-02-28,2023-07-21,8,19.49,7,1,2023-03-17,0,17.0,2023-02-01,2023-07-01,Regular User,3
user_32,2023-06-19,2023-07-21,12,26.4,10,0,,1,,2023-06-01,2023-07-01,Churned,3
user_33,2023-07-07,2023-11-13,17,22.42,7,1,2023-08-10,0,34.0,2023-07-01,2023-11-01,Regular User,2
user_34,2023-09-28,2023-10-11,10,11.92,4,0,,0,,2023-09-01,2023-10-01,Regular User,0
user_35,2023-07-09,2023-07-09,11,21.91,3,0,,1,,2023-07-01,2023-07-01,Churned,2
user_36,2023-06-24,2023-09-21,14,16.5,4,1,2023-07-08,0,14.0,2023-06-01,2023-09-01,Regular User,2
user_37,2023-02-20,2023-05-19,9,21.16,5,0,,1,,2023-02-01,2023-05-01,Churned,0
user_38,2023-12-30,2024-05-21,14,9.87,7,0,,0,,2023-12-01,2024-05-01,Regular User,2
user_39,2023-02-24,2023-05-24,12,14.56,3,0,,1,,2023-02-01,2023-05-01,Churned,2
user_40,2023-09-01,2024-02-22,12,15.89,10,1,2023-09-22,0,21.0,2023-09-01,2024-02-01,Regular User,3
user_41,2023-11-16,2024-05-05,11,14.73,6,1,2024-02-12,0,88.0,2023-11-01,2024-05-01,Regular User,1
user_42,2023-05-11,2023-05-24,8,16.45,7,0,,1,,2023-05-01,2023-05-01,Churned,3
user_43,2023-11-03,2024-04-02,13,14.45,5,1,2024-01-16,0,74.0,2023-11-01,2024-04-01,Regular User,1
user_44,2023-05-15,2023-09-02,14,13.22,8,1,2023-07-14,0,60.0,2023-05-01,2023-09-01,Regular User,1
user_45,2023-01-21,2023-06-12,14,12.71,7,1,2023-04-16,0,85.0,2023-01-01,2023-06-01,Regular User,1
user_46,2023-11-25,2024-02-15,5,10.91,10,1,2023-12-08,0,13.0,2023-11-01,2024-02-01,Regular User,3
user_47,2023-06-16,2023-08-26,12,16.54,8,1,2023-08-25,0,70.0,2023-06-01,2023-08-01,Regular User,1
user_48,2023-10-01,2024-03-10,10,14.29,7,0,,0,,2023-10-01,2024-03-01,Regular User,3
user_49,2023-03-30,2023-08-06,15,12.3,5,0,,1,,2023-03-01,2023-08-01,Churned,2
user_50,2023-11-12,2023-12-08,8,7.51,5,1,2024-01-19,0,68.0,2023-11-01,2023-12-01,Regular User,1
user_51,2023-01-14,2023-03-28,13,17.69,8,1,2023-02-13,0,30.0,2023-01-01,2023-03-01,Regular User,3
user_52,2023-08-30,2023-12-06,14,18.38,4,1,2023-12-20,0,112.0,2023-08-01,2023-12-01,Regular User,1
user_53,2023-09-22,2023-12-02,10,10.31,4,1,2023-12-16,0,85.0,2023-09-01,2023-12-01,Regular User,1
user_54,2023-12-12,2024-01-03,7,15.52,3,1,2024-02-23,0,73.0,2023-12-01,2024-01-01,Regular User,1
user_55,2023-02-22,2023-04-30,14,12.27,4,1,2023-05-26,0,93.0,2023-02-01,2023-04-01,Regular User,1
user_56,2023-12-06,2024-04-25,9,18.59,5,0,,0,,2023-12-01,2024-04-01,Regular User,0
user_57,2023-04-02,2023-07-27,9,12.52,5,0,,1,,2023-04-01,2023-07-01,Churned,0
user_58,2023-09-21,2024-01-04,13,12.54,3,0,,0,,2023-09-01,2024-01-01,Regular User,2
user_59,2023-02-04,2023-05-07,12,15.66,7,0,,1,,2023-02-01,2023-05-01,Churned,3
user_60,2023-07-25,2023-09-27,10,12.9,4,1,2023-09-29,0,66.0,2023-07-01,2023-09-01,Regular User,1
user_61,2023-03-22,2023-05-28,7,12.56,2,0,,1,,2023-03-01,2023-05-01,Churned,0
user_62,2023-02-19,2023-06-26,17,11.93,2,1,2023-04-09,0,49.0,2023-02-01,2023-06-01,Regular User,2
user_63,2023-12-26,2024-02-26,6,12.79,4,0,,0,,2023-12-01,2024-02-01,Regular User,0
user_64,2023-01-02,2023-04-24,12,13.13,2,1,2023-03-20,0,77.0,2023-01-01,2023-04-01,Regular User,1
user_65,2023-02-23,2023-05-23,9,15.06,7,1,2023-03-03,0,8.0,2023-02-01,2023-05-01,Regular User,3
user_66,2023-04-16,2023-07-05,4,14.19,7,0,,1,,2023-04-01,2023-07-01,Inactive,3
user_67,2023-09-17,2023-12-28,10,17.47,5,0,,0,,2023-09-01,2023-12-01,Regular User,0
user_68,2023-11-06,2024-04-13,13,9.23,3,0,,0,,2023-11-01,2024-04-01,Regular User,2
user_69,2023-07-10,2023-11-02,9,25.45,9,0,,0,,2023-07-01,2023-11-01,Regular User,3
user_70,2023-08-06,2023-08-18,9,15.11,6,1,2023-09-14,0,39.0,2023-08-01,2023-08-01,Regular User,3
user_71,2023-02-13,2023-06-16,10,19.86,7,0,,1,,2023-02-01,2023-06-01,Churned,3
user_72,2023-06-11,2023-11-04,13,17.41,6,1,2023-09-07,0,88.0,2023-06-01,2023-11-01,Regular User,1
user_73,2023-07-21,2023-12-19,14,15.6,5,0,,0,,2023-07-01,2023-12-01,Regular User,2
user_74,2023-09-27,2023-12-23,13,17.26,7,1,2023-11-14,0,48.0,2023-09-01,2023-12-01,Regular User,3
user_75,2023-12-17,2023-12-27,10,16.7,4,0,,0,,2023-12-01,2023-12-01,Regular User,0
user_76,2023-10-31,2023-11-14,16,14.12,3,0,,0,,2023-10-01,2023-11-01,Regular User,2
user_77,2023-09-28,2023-10-07,9,26.97,8,1,2023-12-02,0,65.0,2023-09-01,2023-10-01,Regular User,3
user_78,2023-08-03,2023-09-12,14,20.57,9,1,2023-11-16,0,105.0,2023-08-01,2023-09-01,Regular User,1
user_79,2023-09-09,2024-02-10,14,7.03,1,1,2023-11-14,0,66.0,2023-09-01,2024-02-01,Regular User,2
user_80,2023-07-09,2023-09-19,11,20.25,2,1,2023-08-23,0,45.0,2023-07-01,2023-09-01,Regular User,2
user_81,2023-10-23,2023-12-13,9,15.35,2,1,2024-01-16,0,85.0,2023-10-01,2023-12-01,Regular User,1
user_82,2023-08-01,2023-12-06,10,23.18,2,0,,0,,2023-08-01,2023-12-01,Regular User,0
user_83,2023-07-27,2023-08-23,10,13.37,2,1,2023-08-03,0,7.0,2023-07-01,2023-08-01,Regular User,0
user_84,2023-08-25,2023-10-28,13,3.32,2,1,2023-11-29,0,96.0,2023-08-01,2023-10-01,Regular User,1
user_85,2023-12-04,2023-12-20,12,13.24,3,0,,0,,2023-12-01,2023-12-01,Regular User,2
user_86,2023-02-22,2023-05-27,12,6.99,7,1,2023-04-02,0,39.0,2023-02-01,2023-05-01,Regular User,3
user_87,2023-10-07,2024-03-26,5,11.6,4,0,,0,,2023-10-01,2024-03-01,Regular User,0
user_88,2023-08-05,2023-12-20,13,12.15,2,1,2023-09-21,0,47.0,2023-08-01,2023-12-01,Regular User,2
user_89,2023-09-09,2023-11-10,11,16.89,2,1,2023-09-20,0,11.0,2023-09-01,2023-11-01,Regular User,2
user_90,2023-07-07,2023-12-28,13,16.27,2,1,2023-10-10,0,95.0,2023-07-01,2023-12-01,Regular User,1
user_91,2023-02-10,2023-03-19,6,18.2,4,0,,1,,2023-02-01,2023-03-01,Churned,0
user_92,2023-06-06,2023-08-14,16,17.77,7,1,2023-09-08,0,94.0,2023-06-01,2023-08-01,Regular User,1
user_93,2023-01-15,2023-04-28,8,24.71,0,0,,1,,2023-01-01,2023-04-01,Inactive,0
user_94,2023-10-28,2023-12-19,13,15.01,4,1,2024-02-07,0,102.0,2023-10-01,2023-12-01,Regular User,1
user_95,2023-03-06,2023-08-24,10,17.57,2,1,2023-05-24,0,79.0,2023-03-01,2023-08-01,Regular User,1
user_96,2023-12-11,2024-04-07,12,19.42,5,0,,0,,2023-12-01,2024-04-01,Regular User,2
user_97,2023-11-23,2024-02-04,7,11.77,5,0,,0,,2023-11-01,2024-02-01,Regular User,0
user_98,2023-01-09,2023-03-03,15,8.68,5,0,,1,,2023-01-01,2023-03-01,Churned,2
user_99,2023-12-10,2023-12-29,12,16.84,9,1,2024-02-13,0,65.0,2023-12-01,2023-12-01,Regular User,3
user_100,2023-05-09,2023-07-26,13,13.0,6,1,2023-08-12,0,95.0,2023-05-01,2023-07-01,Regular User,1
user_101,2023-05-16,2023-06-15,5,18.9,4,0,,1,,2023-05-01,2023-06-01,Churned,0
user_102,2023-03-04,2023-07-16,7,18.67,6,0,,1,,2023-03-01,2023-07-01,Churned,0
user_103,2023-05-19,2023-07-15,8,19.95,5,0,,1,,2023-05-01,2023-07-01,Churned,0
user_104,2023-03-22,2023-07-04,11,11.07,4,0,,1,,2023-03-01,2023-07-01,Churned,2
user_105,2023-06-12,2023-06-21,8,12.13,6,1,2023-07-25,0,43.0,2023-06-01,2023-06-01,Regular User,3
user_106,2023-10-16,2023-10-25,6,15.53,4,0,,0,,2023-10-01,2023-10-01,Regular User,0
